Name,B,F,G.,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
LV Hya,,,305.0,LV,103789.0,58272.0,11h 57m 03.78s,−33° 18′ 55.6″,6.2,0.88,378.0,B9.5V,α2 CVn variable,,,,,,,,,False
HD 95698,,(8),261.0,,95698.0,53963.0,11h 02m 24.41s,−26° 49′ 52.3″,6.21,2.59,173.0,A9III/IV,8 Crateris,,,,,,,,,False
HQ Hya,,,7.0,HQ,69997.0,40766.0,08h 19m 15.11s,−10° 09′ 57.0″,6.31,1.14,353.0,F3IIIp,δ Sct variable,,,,,,,,,False
37 Hya,,37,171.0,OW,83650.0,47427.0,09h 39m 47.42s,−10° 34′ 13.0″,6.31,−1.33,1098.0,A0Vn,OW Hya; 171 G. Hya.,,,,,,,,,False
HD 100953,,(23),292.0,,100953.0,56657.0,11h 37m 01.22s,−32° 59′ 16.8″,6.32,2.04,234.0,F5V,23 Crateris,,,,,,,,,False
V335 Hya,,,316.0,V335,106198.0,59588.0,12h 13m 12.97s,−34° 07′ 31.0″,6.34,−0.89,911.0,M4/M5Ib/II:,,,,,,,,,,False
34 Hya,,34,167.0,,83373.0,47249.0,09h 37m 51.54s,−09° 25′ 28.1″,6.4,1.10,375.0,A1V,,,,,,,,,,False
R Hya,,,347.0,R,117287.0,65835.0,13h 29m 42.82s,−23° 16′ 52.9″,6.4,−2.55,2012.0,M6/M7e,Mira variable,M6e/M9e:,2500.0 K,4.63 M☉,445.0 R☉,10000.0 L☉,,,1.0 Gyr,False
LO Hya (25 G. Hya),,,25.0,LO,71663.0,41564.0,08h 28m 29.16s,−02° 31′ 01.6″,6.42,1.77,278.0,A5m,,,,,,,,,,False
29 Hya,,29,139.0,,81728.0,46365.0,09h 27m 14.65s,−09° 13′ 25.3″,6.53,−1.48,1304.0,A2V,,,,,,,,,,False
HD 94046,b2,(5),,,94046.0,53037.0,10h 51m 05.99s,−18° 19′ 56.0″,6.56,0.76,471.0,A3V,5 Crateris,,,,,,,,,False
17 Hya,,17,79.0,,76370.0,43822.0,08h 55m 29.60s,−07° 58′ 16.0″,6.67,1.72,319.0,A3,,,,,,,,,,False
14 Lib,,(14),,,131992.0,73189.0,14h 57m 31.96s,−25° 26′ 30.4″,6.95,1.56,391.0,A2/A3V,,,,,,,,,,False
V Hya,,,,V,,53085.0,10h 51m 37.26s,−21° 15′ 00.0″,7.0,,,C,Carbon star,"C6,3e-C7,5e(N6e)",2650.0 K,1.9 M☉,430.0 R☉,18000.0 L☉,0.5 cgs,14.0 km/s,,False
25 Hya,,25,,,80105.0,45588.0,09h 17m 29.22s,−11° 57′ 42.7″,7.07,1.50,424.0,K0,,,,,,,,,,False
φ1 Hya,φ1,43,,,91369.0,51614.0,10h 32m 41.17s,−16° 57′ 30.7″,7.62,3.25,244.0,G2V,,G2 V,5992.0 K,1.34 M☉,2.1 R☉,4.4 L☉,3.9 cgs,,4.1 Gyr,False
V478 Hya,,,,V478,70573.0,,08h 22m 49.95s,+01° 51′ 33.6″,8.7,5.40,149.0,G1-1.5V,has a planet (b),G1/2V,5837.0 K,1.0 M☉,0.98 R☉,0.998 L☉,4.59 cgs,3.296 days,2.3 Gyr,False
TW Hya,,,,TW,,53911.0,11h 01m 51.91s,−34° 42′ 17.0″,11.1,7.3,184.0,K8Ve,"T Tauri star, retracted planet",K6,4000.0 K,0.8 M☉,1.11 R☉,0.28 L☉,,,8.0 Myr,False
