Name,B,F,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
σ1 Cnc,σ1,51,,75698,43584.0,08h 52m 34.62s,+32° 28′ 26.8″,5.67,1.69,204.0,A8Vms,suspected variable,A8 Vas,8116.0 K,1.7 M☉,,18.0 L☉,4.44 cgs,84.0 km/s,301.0 Myr,False
ο2 Cnc,ο2,63,,76582,44001.0,08h 57m 35.16s,+15° 34′ 52.4″,5.68,2.22,161.0,F0IV,,F0 IV,7868.0 K,1.72 M☉,1.62 R☉,10.3 L☉,4.25 cgs,90.5 km/s,300.0 Myr,False
υ1 Cnc,υ1,30,,72041,41816.0,08h 31m 30.57s,+24° 04′ 52.4″,5.71,1.40,237.0,F0IIIn,suspected variable,F0 IIIn,7240.0 K,1.47 M☉,3.2 R☉,25.0 L☉,3.51 cgs,109.2 km/s,570.0 Myr,False
ψ2 Cnc,ψ2,14,,67767,40023.0,08h 10m 27.23s,+25° 30′ 29.4″,5.73,2.61,137.0,G8IV,suspected variable,G7 V,5311.0 K,1.49 M☉,3.2 R☉,8.0 L☉,3.87 cgs,0.98 km/s,2.39 Gyr,False
1 Cnc,,1,,64960,38848.0,07h 56m 59.47s,+15° 47′ 25.4″,5.8,0.04,462.0,K3III,,K3− III,4231.0 K,1.1 M☉,18.7 R☉,199.0 L☉,2.03 cgs,,,False
ω1 Cnc,ω1,2,,65714,39191.0,08h 00m 55.87s,+25° 23′ 34.2″,5.87,−1.82,660.0,G8III:,,G8 III,4941.0 K,3.7 M☉,17.09 R☉,165.1 L☉,2.461 cgs,,217.0 Myr,False
50 Cnc,A2,50,,74873,43121.0,08h 46m 56.06s,+12° 06′ 36.3″,5.89,1.96,199.0,A1V,,A1 Vp,8340.0 K,2.1 M☉,,10.8 L☉,4.4 cgs,18.0 km/s,264.0 Myr,False
66 Cnc,,66,,77104,44307.0,09h 01m 24.13s,+32° 15′ 08.3″,5.89,−0.08,509.0,A2V,,A2 V,8974.0 K,2.73 M☉,,95.7 L☉,4.0 cgs,183.0 km/s,162.0 Myr,False
λ Cnc,λ,19,,70011,40881.0,08h 20m 32.15s,+24° 01′ 20.5″,5.92,0.37,419.0,B9.5V,Piautos,B9.5 V,10162.0 K,2.61 M☉,3.69 R☉,131.0 L☉,3.72 cgs,188.0 km/s,105.0 Myr,False
36 Cnc,c,36,,73143,42265.0,08h 37m 05.79s,+09° 39′ 20.1″,5.92,0.17,461.0,A3V,suspected eclipsing binary,A3 V,8472.0 K,2.66 M☉,2.0 R☉,93.1 L☉,,44.0 km/s,,False
20 Cnc,d1,20,,70569,41117.0,08h 23m 21.87s,+18° 19′ 56.2″,5.94,0.52,395.0,A9V,,A9 V,7907.0 K,2.41 M☉,3.7 R☉,59.9 L☉,3.62 cgs,50.0 km/s,700.0 Myr,False
