Name,B,F,G.,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
38 Cet,,38,119.0,,7476.0,5833.0,01h 14m 49.18s,−00° 58′ 27.5″,5.7,2.49,143.0,F5V,,,,,,,,,,False
97 Cet,κ2,97,321.0,,20791.0,15619.0,03h 21m 06.77s,+03° 40′ 32.5″,5.7,0.95,290.0,G8.5III,,G8 III,5007.0 K,2.46 M☉,8.23 R☉,41.7 L☉,2.98 cgs,0.98 km/s,610.0 Myr,False
30 Cet,,30,109.0,,6706.0,5296.0,01h 07m 46.12s,−09° 47′ 08.1″,5.71,2.32,155.0,F7IV,,,,,,,,,,False
12 Cet,,12,48.0,,2637.0,2353.0,00h 30m 02.35s,−03° 57′ 26.3″,5.72,−1.37,853.0,M0III,,,,,,,,,,False
84 Cet,,84,288.0,,16765.0,12530.0,02h 41m 13.87s,−00° 41′ 43.3″,5.72,4.05,71.0,F7IV,,F7V+ K2V,6356.0 K,1.168 M☉,1.208 R☉,2.133 L☉,,32.0 km/s,2.1 Gyr,False
77 Cet,,77,265.0,,16074.0,12002.0,02h 34m 42.59s,−07° 51′ 33.4″,5.74,−0.39,549.0,K4III,,K2 III,4478.0 K,3.5 M☉,28.0 R☉,239.0 L☉,1.99 cgs,,250.0 Myr,False
BK Cet,,,188.0,BK,11522.0,8778.0,01h 52m 52.09s,−16° 55′ 44.8″,5.78,0.75,330.0,F0V,"δ Sct variable, Vmax = 5.73m, Vmin = 5.81m",,,,,,,,,False
42 Cet,,42,124.0,,8036.0,6226.0,01h 19m 48.29s,−00° 30′ 32.4″,5.87,0.46,394.0,A7V...,,,,,,,,,,False
AB Cet,,,248.0,AB,15144.0,11348.0,02h 26m 00.38s,−15° 20′ 28.0″,5.88,1.79,214.0,Ap SrCrEu,"α² CVn variable, Vmax = 5.71m, Vmin = 5.88m, P = 2.99781 d",,,,,,,,,False
34 Cet,,34,114.0,,7147.0,5594.0,01h 11m 43.54s,−02° 15′ 03.7″,5.93,0.28,441.0,K4III,,,,,,,,,,False
14 Cet,,14,55.0,,3229.0,2787.0,00h 35m 32.75s,−00° 30′ 19.7″,5.94,2.21,181.0,F5IV,,F5 Vor F5 IV,6583.0 K,1.55 M☉,2.6 R☉,10.7 L☉,3.87 cgs,5.0 km/s,2.1 Gyr,False
63 Cet,,63,218.0,,13468.0,10234.0,02h 11m 35.84s,−01° 49′ 31.3″,5.94,0.76,354.0,G9III:,,K0III,4940.0 K,1.85 M☉,11.08 R☉,63.7 L☉,2.59 cgs,1.27 km/s,990.0 Myr,False
61 Cet,,61,204.0,,12641.0,9631.0,02h 03m 48.12s,−00° 20′ 24.5″,5.96,0.94,330.0,G5V...,,,,,,,,,,False
33 Cet,,33,113.0,,7014.0,5510.0,01h 10m 33.56s,+02° 26′ 44.6″,5.97,−1.23,898.0,K4III,,,,,,,,,,False
BG Cet,,,58.0,BG,3326.0,2852.0,00h 36m 06.90s,−22° 50′ 32.0″,6.06,2.58,162.0,A5m...,"δ Sct variable, ΔV = ~0.009m",,,,,,,,,False
26 Cet,,26,103.0,,6288.0,4979.0,01h 03m 48.96s,+01° 22′ 01.0″,6.06,2.29,185.0,F1V,,,,,,,,,,False
27 Cet,,27,104.0,,6482.0,5121.0,01h 05m 36.90s,−09° 58′ 45.3″,6.09,1.21,308.0,K0III,,,,,,,,,,False
CF Cet,,,13.0,CF,402.0,696.0,00h 08m 33.49s,−17° 34′ 40.9″,6.11,−1.97,1347.0,M0/M1IIICNp,"semiregular variable, ΔV = ~0.16m",,,,,,,,,False
18 Cet,,18,75.0,,4307.0,3559.0,00h 45m 28.71s,−12° 52′ 49.1″,6.15,3.63,104.0,G2V,,,,,,,,,,False
21 Cet,,21,92.0,,5268.0,4257.0,00h 54m 17.58s,−08° 44′ 26.0″,6.15,0.82,379.0,G5IV,,,,,,,,,,False
EH Cet,,,306.0,EH,18345.0,13756.0,02h 57m 04.56s,+04° 30′ 03.5″,6.15,−0.01,556.0,M4III,"semiregular variable, Vmax = 6.05m, Vmin = 6.22m",,,,,,,,,False
10 Cet,,10,40.0,,2273.0,2100.0,00h 26m 37.37s,−00° 02′ 58.3″,6.16,0.29,486.0,G8III,,,,,,,,,,False
44 Cet,,44,135.0,AV,8511.0,6539.0,01h 24m 02.43s,−08° 00′ 26.1″,6.21,2.07,220.0,F0V,"AV Cet; δ Sct variable, Vmax = 6.20m, Vmin = 6.22m, P = 0.07 d",,,,,,,,,False
1 Cet,,1,3.0,,224481.0,118178.0,23h 58m 21.17s,−15° 50′ 50.9″,6.28,0.41,486.0,K1IIICN...,,K1III CNII,4906.0 K,2.4 M☉,13.9 R☉,83.0 L☉,2.6 cgs,3.1 km/s,,False
71 Cet,,71,245.0,FR,15004.0,11261.0,02h 24m 58.39s,−02° 46′ 48.1″,6.34,−0.14,646.0,A0III,FR Cet,,,,,,,,,False
9 Cet,,9,37.0,BE,1835.0,1803.0,00h 22m 51.55s,−12° 12′ 34.5″,6.39,4.84,66.0,G3V,"BE Cet; BY Dra variable, Vmax = 6.38m, Vmin = 6.43m",G3 V,5761.0 K,1.09 M☉,1.05 R☉,1.095 L☉,4.47 cgs,7.655 d,850.0 Myr,False
32 Cet,,32,112.0,,6976.0,5485.0,01h 10m 11.96s,−08° 54′ 21.7″,6.4,1.16,365.0,K0III,,,,,,,,,,False
29 Cet,,29,110.0,,6734.0,5315.0,01h 07m 59.58s,+01° 59′ 38.7″,6.44,3.11,151.0,K0IV,,,,,,,,,,False
