Name,B,F,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
HR 8770,,,V638,217833.0,113797.0,23h 02m 43.80s,+55° 14′ 11.0″,6.5,,723.0,B9IIIwe...,α2 CVn variable,,,,,,,,,False
V649 Cas,,,V649,219634.0,114904.0,23h 16m 27.05s,+61° 57′ 46.6″,6.53,,3500.0,B0Vn,"Algol variable, ΔV = 0.1m, P = 2.39 d",,,,,,,,,False
54 Cas,,54.0,,12800.0,10031.0,02h 09m 07.69s,+71° 33′ 09.3″,6.57,4.39,89.0,F8,,F8V,6039.0 K,1.09 M☉,1.061 R☉,1.411 L☉,4.0 cgs,6.0 km/s,2.5 Gyr,False
V816 Cas,,,V816,222670.0,116948.0,23h 42m 20.95s,+64° 30′ 55.4″,6.58,,942.0,M2III,slow irregular variable,,,,,,,,,False
V764 Cas,,,V764,7636.0,6027.0,01h 17m 26.69s,+57° 37′ 55.5″,6.61,,1900.0,B2IIIne,Be star,,,,,,,,,False
V784 Cas,,,V784,13122.0,10141.0,02h 10m 25.5s,+59° 58′ 47.3″,6.64,,335.0,F5II,δ Sct variable,,,,,,,,,False
V772 Cas,,,V772,10260.0,7939.0,01h 42m 02.91s,+61° 02′ 17.7″,6.69,,1220.0,B8IIIsp...,Algol variable,,,,,,,,,False
V809 Cas,,,V809,219978.0,115141.0,23h 19m 23.77s,+62° 44′ 23.2″,6.74,,1960.0,K4.5Ib,slow irregular variable,,,,,,,,,False
V779 Cas,,,V779,12013.0,9494.0,02h 02m 09.31s,+75° 30′ 07.8″,6.78,,626.0,A0,Algol variable,,,,,,,,,False
TU Cas,,,TU,2207.0,2085.0,00h 26m 19.45s,+51° 16′ 49.3″,6.88,,,F3II...,"double-mode Cepheid, Vmax = 6.88m, Vmin = 8.18m, P = 2.14 d",,,,,,,,,False
HD 223960,,,V819,223960.0,117830.0,23h 53m 49.98s,+60° 51′ 12.2″,6.9,,,A0.1Ia,α Cyg variable,B9Ia,10700.0 K,19.2 M☉,89.0 R☉,315000.0 L☉,1.48 cgs,32.0 km/s,,False
V Cas,,,V,218997.0,114515.0,23h 11m 40.72s,+59° 41′ 59.0″,6.9,,1520.0,M5-7.5e,"Mira variable, Vmax = 6.9m, Vmin = 13.4m, P = 229 d",,,,,,,,,False
V486 Cas,,,V486,3950.0,3346.0,00h 42m 37.99s,+52° 20′ 13.7″,6.95,,,B1III,"eclipsing binary, ΔV = 0.04m, P = 5.56 d",,,,,,,,,False
HD 14817,,,V559,14817.0,11318.0,02h 25m 40.11s,+61° 32′ 58.8″,7.02,,695.0,B8V,"Algol variable, Vmax = 7.01m, Vmin = 7.23m, P = 1.58 d",,,,,,,,,False
V777 Cas,,,V777,11606.0,8980.0,01h 55m 42.85s,+59° 16′ 24.4″,7.02,,959.0,B2Vne,Be star,,,,,,,,,False
CC Cas,,,CC,19820.0,15063.0,03h 14m 05.33s,+59° 33′ 48.5″,7.08,,1860.0,O8.5III,"β Lyr variable, Vmax = 7.06m, Vmin = 7.3m, P = 3.37 d",,,,,,,,,False
